"table_group","table_name","column_position","column_name","declared_type","is_primary_key","is_opaque_payload","n_rows","n_non_null","fill_rate","n_distinct","min_value","max_value","example_value"
"4-study-context","study_memberships",3,"membership_role","TEXT",0,0,2199,2199,1,2,"contact","investigator","contact"
"4-study-context","study_memberships",4,"member_id","TEXT",0,0,2199,2199,1,1565,"56549150e4b01078388690b9","6a3f42d63a0b6f3a1198dc2e","56549160e4b010783886926c"
"4-study-context","study_memberships",5,"title","TEXT",0,0,2199,1897,0.8627,20,"Assoc. Pr.","van","Dr."
"4-study-context","study_memberships",6,"first_name","TEXT",0,0,2199,2185,0.9936,1108," Georgios M. ","Östen","Alice"
"4-study-context","study_memberships",7,"last_name","TEXT",0,0,2199,2199,1,1430,"Aartsen","Ärnlöv","Sullivan"
"4-study-context","study_memberships",8,"email","TEXT",0,0,2199,1944,0.884,1316," benjamin.tauber@psychologie.uni-heidelberg.de","zhaoruiliu@gmail.com","a.sullivan@ioe.ac.uk"
"4-study-context","study_memberships",9,"phone","TEXT",0,0,2199,1342,0.6103,851," 212-305-2391","popcorn@lhsc.on.ca","+44 (0)207 612 6661"
"4-study-context","study_memberships",10,"institution_name_en","TEXT",0,0,2199,2160,0.9823,621," Institut National de la Santé et de la Recherche Médicale (INSERM)","Zürich University Hospital","University of London"
"4-study-context","study_memberships",11,"department_en","TEXT",0,0,2199,1391,0.6326,504," Centre for Research on Ageing, Health and Wellbeing","Épidémiologie et systèmes de santé","Centre for Longitudinal Studies"
"4-study-context","study_memberships",12,"city_en","TEXT",0,0,2199,1948,0.8859,219,"Aarau","Zürich","London"
"4-study-context","study_memberships",13,"country_iso","TEXT",0,0,2199,2063,0.9382,50,"ALB","ZAF","GBR"
"4-study-context","study_memberships",14,"member_json","TEXT",0,1,2199,2199,1,1727,,,
"4-study-context","study_attributes",1,"run_id","TEXT",0,0,1628,1628,1,1,"maelstrom-20260728T021329","maelstrom-20260728T021329","maelstrom-20260728T021329"
"4-study-context","study_attributes",2,"study_id","TEXT",0,0,1628,1628,1,201,"50ymg","zulu","bcs70"
"4-study-context","study_attributes",3,"attribute_namespace","TEXT",0,0,1628,1628,1,1,"Mlstr_area","Mlstr_area","Mlstr_area"
"4-study-context","study_attributes",4,"attribute_name","TEXT",0,0,1628,1628,1,18,"Administrative_information","Symptoms_signs","Administrative_information"
"5-population-layer","study_populations",1,"run_id","TEXT",1,0,998,998,1,1,"maelstrom-20260728T021329","maelstrom-20260728T021329","maelstrom-20260728T021329"
"5-population-layer","study_populations",2,"study_id","TEXT",1,0,998,998,1,455,"3d","zulu","3d"
"5-population-layer","study_populations",3,"population_id","TEXT",1,0,998,998,1,39,"1","t-n","1"
"5-population-layer","study_populations",4,"display_order","INTEGER",0,0,998,998,1,20,"0","19","0"
"5-population-layer","study_populations",5,"name_en","TEXT",0,0,998,998,1,998," AdoQuest study population ","seroMARK-VR - non-Black Canadians","BCS70 population"
"5-population-layer","study_populations",6,"description_html_en","TEXT",0,1,998,995,0.997,962,,,
"5-population-layer","study_populations",7,"participant_number","INTEGER",0,0,998,848,0.8497,637,"1","4275000","17198"
"5-population-layer","study_populations",8,"participant_no_limit","INTEGER",0,0,998,998,1,2,"0","1","0"
"5-population-layer","study_populations",9,"sample_number","INTEGER",0,0,998,526,0.5271,383,"0","486019","2357"
"5-population-layer","study_populations",10,"sample_no_limit","INTEGER",0,0,998,992,0.994,2,"0","1","0"
"5-population-layer","study_populations",11,"participant_info_html_en","TEXT",0,1,998,391,0.3918,305,,,
"5-population-layer","study_populations",12,"minimum_age","INTEGER",0,0,998,658,0.6593,61,"0","100","18"
"5-population-layer","study_populations",13,"maximum_age","INTEGER",0,0,998,368,0.3687,62,"1","105","47"
"5-population-layer","study_populations",14,"newborn","INTEGER",0,0,998,998,1,2,"0","1","1"
"5-population-layer","study_populations",15,"twins","INTEGER",0,0,998,998,1,2,"0","1","0"
"5-population-layer","study_populations",16,"territory_html_en","TEXT",0,1,998,848,0.8497,286,,,
"5-population-layer","study_populations",17,"content_json","TEXT",0,1,998,998,1,973,,,
"5-population-layer","population_countries",1,"run_id","TEXT",0,0,1127,1127,1,1,"maelstrom-20260728T021329","maelstrom-20260728T021329","maelstrom-20260728T021329"
"5-population-layer","population_countries",2,"study_id","TEXT",0,0,1127,1127,1,455,"3d","zulu","bcs70"
"5-population-layer","population_countries",3,"population_id","TEXT",0,0,1127,1127,1,39,"1","t-n","1"
"5-population-layer","population_countries",4,"country_iso","TEXT",0,0,1127,1127,1,61,"ALB","ZAF","ALB"
"5-population-layer","population_recruitment_terms",1,"run_id","TEXT",0,0,2051,2051,1,1,"maelstrom-20260728T021329","maelstrom-20260728T021329","maelstrom-20260728T021329"
"5-population-layer","population_recruitment_terms",2,"study_id","TEXT",0,0,2051,2051,1,452,"3d","zulu","bcs70"
"5-population-layer","population_recruitment_terms",3,"population_id","TEXT",0,0,2051,2051,1,38,"1","t-n","1"
"5-population-layer","population_recruitment_terms",4,"term_group","TEXT",0,0,2051,2051,1,3,"data_sources","specific_population_sources","data_sources"
"5-population-layer","population_recruitment_terms",5,"term_value","TEXT",0,0,2051,2051,1,9,"clinic_patients","volunteer","exist_studies"
"6-event-layer","data_collection_events",1,"run_id","TEXT",1,0,6483,6483,1,1,"maelstrom-20260728T021329","maelstrom-20260728T021329","maelstrom-20260728T021329"
"6-event-layer","data_collection_events",2,"study_id","TEXT",1,0,6483,6483,1,455,"3d","zulu","3d"
"6-event-layer","data_collection_events",3,"population_id","TEXT",1,0,6483,6483,1,39,"1","t-n","1"
"6-event-layer","data_collection_events",4,"dce_id","TEXT",1,0,6483,6483,1,88,"0","r","1"
"6-event-layer","data_collection_events",5,"display_order","INTEGER",0,0,6483,6483,1,83,"0","82","0"
"6-event-layer","data_collection_events",6,"name_en","TEXT",0,0,6483,6483,1,6190,"10-day follow up period","seroMARK-VR - non-Black Canadians - 0-30 days pre-dose 1","BCS 1970 - Birth survey"
"6-event-layer","data_collection_events",7,"description_html_en","TEXT",0,1,6483,6482,0.9998,3196,,,
"6-event-layer","data_collection_events",8,"start_year","INTEGER",0,0,6483,6483,1,98,"1920","2032","1970"
"6-event-layer","data_collection_events",9,"end_year","INTEGER",0,0,6483,5693,0.8781,95,"1922","2035","1970"
"6-event-layer","data_collection_events",10,"other_data_sources_html_en","TEXT",0,1,6483,1105,0.1704,181,,,
"6-event-layer","data_collection_events",11,"content_json","TEXT",0,1,6483,6483,1,1747,,,
"6-event-layer","dce_data_sources",1,"run_id","TEXT",0,0,14347,14347,1,1,"maelstrom-20260728T021329","maelstrom-20260728T021329","maelstrom-20260728T021329"
"6-event-layer","dce_data_sources",2,"study_id","TEXT",0,0,14347,14347,1,455,"3d","zulu","bcs70"
"6-event-layer","dce_data_sources",3,"population_id","TEXT",0,0,14347,14347,1,39,"1","t-n","1"
"6-event-layer","dce_data_sources",4,"dce_id","TEXT",0,0,14347,14347,1,88,"0","r","1"
"6-event-layer","dce_data_sources",5,"data_source_code","TEXT",0,0,14347,14347,1,6,"administratives_databases","questionnaires","administratives_databases"
"6-event-layer","dce_biosamples",1,"run_id","TEXT",0,0,4585,4585,1,1,"maelstrom-20260728T021329","maelstrom-20260728T021329","maelstrom-20260728T021329"
"6-event-layer","dce_biosamples",2,"study_id","TEXT",0,0,4585,4585,1,308,"3d","y2k","bcs70"
"6-event-layer","dce_biosamples",3,"population_id","TEXT",0,0,4585,4585,1,33,"1","Venezuela","1"
"6-event-layer","dce_biosamples",4,"dce_id","TEXT",0,0,4585,4585,1,87,"0","Wave2","10"
"6-event-layer","dce_biosamples",5,"biosample_code","TEXT",0,0,4585,4585,1,9,"blood","urine","blood"
