block,ordinal_position,column_name,description,caution,r_type,n_non_null,fill_rate,n_distinct,example_value
Measurement sources across waves,48,has_source_cognitive_measures,Any event declares `cognitive_measures` — the key harmonization signal,"Records that an instrument FAMILY was declared, not which instrument. Two flagged studies may share nothing harmonizable.",logical,455,1,2,TRUE
Measurement sources across waves,49,has_source_questionnaires,Any event declares `questionnaires`,NA,logical,455,1,2,TRUE
Measurement sources across waves,50,has_source_physical_measures,Any event declares `physical_measures`,NA,logical,455,1,2,TRUE
Measurement sources across waves,51,has_source_biological_samples,Any event declares `biological_samples`,NA,logical,455,1,2,TRUE
Measurement sources across waves,52,has_source_administrative_databases,Any event declares `administratives_databases` (the source spelling),NA,logical,455,1,2,TRUE
Measurement sources across waves,53,has_biosample_blood,Blood was collected at any event,NA,logical,455,1,2,TRUE
Screening signals,54,n_dementia_hits,Total `dementia` lexicon matches across all scanned fields,NA,integer,455,1,33,0
Screening signals,55,n_cognition_hits,Total `cognition` lexicon matches across all scanned fields,NA,integer,455,1,59,50
Screening signals,56,n_brain_hits,Total `brain` lexicon matches across all scanned fields,NA,integer,455,1,12,0
Screening signals,57,n_ageing_hits,Total `ageing` lexicon matches across all scanned fields,NA,integer,455,1,24,0
Screening signals,58,sig_text_dementia,At least one `dementia` hit; contributes weight 3 to the score,NA,logical,455,1,2,FALSE
Screening signals,59,sig_text_cognition,At least one `cognition` hit; contributes weight 2,NA,logical,455,1,2,TRUE
Screening signals,60,sig_text_brain,At least one `brain` hit; contributes weight 1,NA,logical,455,1,2,FALSE
Screening signals,61,sig_text_ageing,At least one `ageing` hit; descriptive only,Deliberately absent from the score. Studying older adults is not the same as studying cognition.,logical,455,1,2,FALSE
Screening signals,62,sig_area_cognitive,Alias of `has_area_cognitive_psychological`; contributes weight 1,NA,logical,455,1,2,FALSE
Screening signals,63,sig_source_cognitive,Alias of `has_source_cognitive_measures`; contributes weight 2,NA,logical,455,1,2,TRUE
Relevance and frame membership,64,relevance_score,Additive score over the six weighted signals,"Reconstructible from the sig_* columns of the same row. If it is not, the row is corrupt.",numeric,455,1,10,4
Relevance and frame membership,65,relevance_tier,Ordered tier: unrelated < possible < probable < core,NA,ordered/factor,455,1,4,probable
Relevance and frame membership,66,flag_topic_relevant,Tier is `probable` or `core`; step 1 of the screening funnel,NA,logical,455,1,2,TRUE
Relevance and frame membership,67,flag_cognitive_evidence,`sig_source_cognitive` or `sig_text_dementia`; step 3 of the funnel,NA,logical,455,1,2,TRUE
Relevance and frame membership,68,flag_in_frame,All three funnel criteria hold; defines the `dementia_frame` view,"A screening result, not an eligibility decision. Confirming a study as harmonizable requires reading it.",logical,455,1,2,TRUE
Relevance and frame membership,69,frame_exclusion_reason,First failing funnel criterion,"NA exactly when flag_in_frame is TRUE. An NA here is a pass, not a gap.",character,300,0.6593406593406593,3,Relevance tier below 'probable'
